customer_id,branch_id,firstname,lastname,City,creation_date
1,43,Joshua,Heck,Fort Worth,2017-06-14
1,43,Joshua,Heck,Fort Worth,2017-06-14
2,63,Mark,Fleischmann,Louisville,2016-10-28
2,63,Mark,Fleischmann,Louisville,2016-10-28
3,82,Joseph,Wilke,Philadelphia,2004-09-08
3,82,Joseph,Wilke,Philadelphia,2004-09-08
4,41,Kevin,Seifert,Oklahoma City,1995-10-27
4,41,Kevin,Seifert,Oklahoma City,1995-10-27
5,9,Linda,Mann,Phoenix,2012-06-14
5,9,Linda,Mann,Phoenix,2012-06-14
6,20,Charles,Ehrhardt,El Paso,2009-01-03
6,20,Charles,Ehrhardt,El Paso,2009-01-03
7,21,Joshua,Haupt,Dallas,2006-10-23
7,21,Joshua,Haupt,Dallas,2006-10-23
8,25,Christopher,Dreher,Memphis,2013-07-08
8,25,Christopher,Dreher,Memphis,2013-07-08
9,66,Daniel,Weiß,Indianapolis,2024-05-03
9,66,Daniel,Weiß,Indianapolis,2024-05-03
10,30,William,Wunderlich,Washington,1999-10-07
10,30,William,Wunderlich,Washington,1999-10-07
11,72,William,Huth,San Diego,2020-06-04
11,72,William,Huth,San Diego,2020-06-04
12,25,Nancy,Jaeger,Oklahoma City,2003-05-27
12,25,Nancy,Jaeger,Oklahoma City,2003-05-27
13,94,Margaret,Wild,Columbus,2018-02-03
13,94,Margaret,Wild,Columbus,2018-02-03
14,30,Michelle,Lohmann,Colorado Springs,1996-01-11
14,30,Michelle,Lohmann,Colorado Springs,1996-01-11
15,77,Nancy,Schramm,Atlanta,2004-04-05
15,77,Nancy,Schramm,Atlanta,2004-04-05
16,31,Michael,Mahler,Fresno,2018-04-14
16,31,Michael,Mahler,Fresno,2018-04-14
17,96,Lisa,Wolters,Austin,2018-05-08
17,96,Lisa,Wolters,Austin,2018-05-08
18,36,Mary,Stenzel,Omaha,2017-09-18
18,36,Mary,Stenzel,Omaha,2017-09-18
19,41,Nancy,Lehnert,Tucson,2010-11-13
19,41,Nancy,Lehnert,Tucson,2010-11-13
20,61,Amanda,Junge,Milwaukee,2024-10-08
20,61,Amanda,Junge,Milwaukee,2024-10-08
21,29,Ashley,Stenzel,Fresno,2019-05-17
21,29,Ashley,Stenzel,Fresno,2019-05-17
22,34,Donna,König,San Antonio,2008-09-25
22,34,Donna,König,San Antonio,2008-09-25
23,19,Mary,Hannemann,El Paso,2011-04-16
23,19,Mary,Hannemann,El Paso,2011-04-16
24,90,Charles,Gottwald,San Antonio,2008-07-03
24,90,Charles,Gottwald,San Antonio,2008-07-03
25,5,Steven,Kirchner,Boston,2021-10-25
25,5,Steven,Kirchner,Boston,2021-10-25
26,20,Barbara,Ostermann,Chicago,2023-06-25
26,20,Barbara,Ostermann,Chicago,2023-06-25
27,78,Lisa,Enders,Kansas City,2016-01-25
27,78,Lisa,Enders,Kansas City,2016-01-25
28,29,Amanda,Stock,Oklahoma City,2002-02-24
28,29,Amanda,Stock,Oklahoma City,2002-02-24
29,3,Matthew,Henze,Fresno,2023-06-11
29,3,Matthew,Henze,Fresno,2023-06-11
30,84,Ronald,Wenzel,Baltimore,1997-06-01
30,84,Ronald,Wenzel,Baltimore,1997-06-01
31,25,Anthony,Lorenz,San Francisco,2017-07-10
31,25,Anthony,Lorenz,San Francisco,2017-07-10
32,69,Carol,Kaminski,Jacksonville,2009-02-22
32,69,Carol,Kaminski,Jacksonville,2009-02-22
33,55,Betty,Clemens,Sacramento,2024-04-20
33,55,Betty,Clemens,Sacramento,2024-04-20
34,56,Jessica,Steffen,Oklahoma City,2010-05-28
34,56,Jessica,Steffen,Oklahoma City,2010-05-28
35,29,Joseph,Diekmann,Seattle,2023-03-09
35,29,Joseph,Diekmann,Seattle,2023-03-09
36,41,Timothy,Mahler,Portland,2004-04-26
36,41,Timothy,Mahler,Portland,2004-04-26
37,2,Amanda,Lukas,Mesa,2019-04-09
37,2,Amanda,Lukas,Mesa,2019-04-09
38,6,Michael,Braun,El Paso,2007-04-03
38,6,Michael,Braun,El Paso,2007-04-03
39,59,Paul,Maurer,Albuquerque,1996-12-14
39,59,Paul,Maurer,Albuquerque,1996-12-14
40,65,John,Kirchner,Jacksonville,2006-07-13
40,65,John,Kirchner,Jacksonville,2006-07-13
41,31,Charles,Arndt,Austin,2005-06-28
41,31,Charles,Arndt,Austin,2005-06-28
42,91,David,Stenzel,Kansas City,1995-02-20
42,91,David,Stenzel,Kansas City,1995-02-20
43,46,Joshua,Oppermann,Philadelphia,2013-05-06
43,46,Joshua,Oppermann,Philadelphia,2013-05-06
44,60,Karen,Jakobs,Fresno,2020-04-26
44,60,Karen,Jakobs,Fresno,2020-04-26
